Código Antiguo;Código Vigente;Código Madre Antiguo;Código Madre Nuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;Ámbito de Funcionamiento;Nombre Oficial;Certificación;Dependencia Administrativa;NivelAtencionEstabglosa;ComunaCódigo;ComunaGlosa;TipoViaGlosa;Número;Nombredevía;TelefonoMovil_TelefonoFijo;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia;Clasificación Tipo de SAPU;LatitudGlosa;LongitudGlosa;TipoSistemaSaludGlosa;Estado de Funcionamiento;NivelComplejidadEstabGlosa;Tipo de Atención;Fecha de Incorporación a la base
26-220;126220;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico AChS (Punta Arenas);No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;0148-A;Presidente Manuel Bulnes;612206400;;NO;No Aplica;No Aplica;-53,137931;-70,887143;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-201;126201;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Magallanes;No Aplica;Privado;Terciario;12101;Punta Arenas;Avenida;1448;Bulnes;612227301;;SI;Urgencia Hospitalaria (UEH);No Aplica;-53,137303;-70,887283;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
26-202;126202;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Atención Instituto de Seguridad del Trabajador Punta Arenas;No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;1643;Bulnes;612210738;;NO;No Aplica;No Aplica;-53,136785;-70,884704;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-909;200708;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud ;UMAG (pertenece a la Facultad de Ciencias de la Salud);No Aplica;Servicio de Salud;No Aplica;12101;Punta Arenas;Avenida;1855;Pdte. Manuel Bulnes;;;NO;No Aplica;No Aplica;-53,133711;-70,929482;Público ;Vigente en Operación Transitoria;Pendiente;Pendiente;
26-905;200541;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Clínica IMET;No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;4236;Presidente Manuel Bulnes;612363000;04-05-2018;NO;No Aplica;No Aplica;-53,129674;-70,877252;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-700;126700;26-300;126300;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Dr. Mateo Bencur;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;1814;Juan Ruiz García;612215133;;NO;No Aplica;No Aplica;-53,126517;-70,918091;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-100;126100;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria;Autogestionado en Red (EAR);Servicio de Salud;Terciario;12101;Punta Arenas;Calle;1364;Los Flamencos;612293000;16-11-1983;SI;Urgencia Hospitalaria (UEH);No Aplica;-53,12215;-70,896232;Público ;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
26-701;126701;26-303;126303;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Río Seco;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;;Sector Río Seco ;;;NO;No Aplica;No Aplica;-53,057548;-70,857881;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-402;126402;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Río Verde;No Aplica;Municipal;Primario;12103;Río Verde;Calle;;Caserío de Río Verde;95556218;;NO;No Aplica;No Aplica;-52,651092;-71,463417;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-403;126403;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Tehuelches;No Aplica;Municipal;Primario;12102;Laguna Blanca;Calle;;Caserío de Villa Tehuenches;88292090;;NO;No Aplica;No Aplica;-52,428269;-71,413018;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-404;126404;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Punta Delgada;No Aplica;Municipal;Primario;12104;San Gregorio;Calle;;Sector Punta Delgada;90259359;;NO;No Aplica;No Aplica;-52,316378;-69,689584;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
;200692;;;12;Región De Magallanes y de la Antártica Chilena;;;No Aplica;Servicio Médico Legal;Establecimiento Medicina Legal;Servicio Médico Legal Puerto Natales;No Aplica;Ministerio de Justicia ;No Aplica;12401;Natales;Avenida;1710;Carlos Ibáñez;(61)415865;;NO;No Aplica;No Aplica;-51,73867438;-72,49056868;Institución Medicina Legal;Vigente en Operación Habitual;;No Aplica;
26-903;200472;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Biohealth;No Aplica;Privado;No Aplica;12401;Natales;Calle;781;Baquedano;962170366;29-07-2015;NO;No Aplica;No Aplica;-51,731515;-72,499538;Privado;Vigente en Operación Habitual;;No Aplica;
26-101;126101;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Augusto Essmann Burgos ( Natales);No Aplica;Servicio de Salud;Terciario;12401;Natales;Calle;537;Ignacio Carrera Pinto ;612291012;11-09-2017;SI;Urgencia Hospitalaria (UEH);No Aplica;-51,730327;-72,506046;Público ;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
26-305;126305;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Natales;Centro de Salud Familiar;Municipal;Primario;12401;Natales;Calle;;Javiera Carrera ;612411000;;NO;No Aplica;No Aplica;-51,72835;-72,482684;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
